Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1 - illumina_universal_adapter	(1, 0.00021773903595497483)	(2, 0.00021773903595497483)	(3, 0.00021773903595497483)	(4, 0.00021773903595497483)	(5, 0.00021773903595497483)	(6, 0.0002449564154493467)	(7, 0.0002449564154493467)	(8, 0.0002993911744380904)	(9, 0.0002993911744380904)	(10, 0.0003198042090588693)	(12, 0.0003266085539324622)	(14, 0.00036063027830042705)	(16, 0.00036743462317402)	(18, 0.00036743462317402)	(20, 0.0005103258655194723)	(22, 0.0005171302103930653)	(24, 0.0005239345552666582)	(26, 0.0005443475898874371)	(28, 0.000571564969381809)	(30, 0.0005851736591289949)	(32, 0.0007824996604631908)	(34, 0.0009526082823030149)	(36, 0.0010818908349012812)	(38, 0.0014153037337073363)	(40, 0.0016670644940302761)	(42, 0.0019324339441004017)	(44, 0.0023474989813895724)	(46, 0.0028986509161506024)	(48, 0.003769607059970502)	(50, 0.004939954378228492)	(52, 0.006416497215798164)	(54, 0.00794747481235658)	(56, 0.009947952205192912)	(58, 0.012649277120009319)	(60, 0.01547988458742399)	(62, 0.01937877419999276)	(64, 0.02378118533320741)	(66, 0.028836813574286982)	(68, 0.03463411540658819)	(70, 0.04183311228284954)	(72, 0.04952202199000959)	(74, 0.05817714866921984)	(76, 0.06765560107813484)	(78, 0.07865142239386105)	(80, 0.09107615613304182)	(82, 0.10494341098542428)	(84, 0.12060701288443529)	(86, 0.13676733195921856)	(88, 0.15474441111525117)	(90, 0.1757085976707911)	(92, 0.1977614794061059)	(94, 0.22089625197632196)	(96, 0.2460178932496272)	(98, 0.2725276208771454)	(100, 0.3017863038335951)	(102, 0.33297742073414527)	(104, 0.36816949242036806)	(106, 0.4053348241199328)	(108, 0.4435071988607894)	(110, 0.48329220333668743)	(112, 0.5252818155516297)	(114, 0.5709389696534384)	(116, 0.6200323179164116)	(118, 0.6727591863418835)	(120, 0.7280989231988151)	(122, 0.7870789845631189)	(124, 0.8511623045826174)	(126, 0.9183484058644743)	(128, 0.9888005926856559)	(130, 1.0627842344962322)	(132, 1.139550853360108)	(134, 1.223849881999051)	(136, 1.3140074515741578)	(138, 1.4064240636472976)
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2 - illumina_universal_adapter	(1, 0.0002041303462077889)	(2, 0.0002041303462077889)	(3, 0.0002041303462077889)	(4, 0.0002041303462077889)	(5, 0.0002041303462077889)	(6, 0.00023134772570216076)	(7, 0.00023134772570216076)	(8, 0.00027217379494371856)	(9, 0.00027217379494371856)	(10, 0.00029258682956449745)	(12, 0.0002993911744380904)	(14, 0.0003198042090588693)	(16, 0.0003266085539324622)	(18, 0.0003266085539324622)	(20, 0.0004694997962779145)	(22, 0.0004967171757722863)	(24, 0.0005103258655194723)	(26, 0.0005443475898874371)	(28, 0.0005851736591289949)	(30, 0.0005987823488761808)	(32, 0.0008029126950839697)	(34, 0.0009662169720502008)	(36, 0.0010818908349012812)	(38, 0.0013268472503506277)	(40, 0.0015309775965584168)	(42, 0.0017419122876397987)	(44, 0.0021705860146761556)	(46, 0.0027353466391843713)	(48, 0.0036335201624986425)	(50, 0.004831084860251004)	(52, 0.006416497215798164)	(54, 0.008022322605966104)	(56, 0.01010445213728555)	(58, 0.012860211811090701)	(60, 0.01572484100287334)	(62, 0.01961012192569492)	(64, 0.023978511334541604)	(66, 0.029074965644862734)	(68, 0.03489268051178472)	(70, 0.042159720836782)	(72, 0.04986904357856283)	(74, 0.05855138763726745)	(76, 0.06811829652953916)	(78, 0.07926381343248443)	(80, 0.0917770036550219)	(82, 0.10565786719715153)	(84, 0.1214779690282552)	(86, 0.1376723098274064)	(88, 0.15570382374242778)	(90, 0.1766748146428413)	(92, 0.19856439210118987)	(94, 0.2217467950855211)	(96, 0.24682080594471115)	(98, 0.2735482726081844)	(100, 0.30290902073773796)	(102, 0.33411374632803525)	(104, 0.3694827309809715)	(106, 0.4068045626126289)	(108, 0.4448748721803816)	(110, 0.4845169854139342)	(112, 0.5266222714917275)	(114, 0.5724427298705024)	(116, 0.6215564911680964)	(118, 0.6743445986974307)	(120, 0.7301674440403874)	(122, 0.7894605052688763)	(124, 0.8538023903935714)	(126, 0.9209544699510603)	(128, 0.9912093307709078)	(130, 1.065192972581484)	(132, 1.1419119610312447)	(134, 1.2260340767034745)	(136, 1.316232472347823)	(138, 1.408540214902985)
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 0.00024382434726828955)	(2, 0.00024382434726828955)	(3, 0.0002577571671121918)	(4, 0.0002647235770341429)	(5, 0.0002786563968780452)	(6, 0.00029258921672194746)	(7, 0.00029258921672194746)	(8, 0.00030652203656584973)	(9, 0.00030652203656584973)	(10, 0.0003169716514487764)	(12, 0.00032045485640975194)	(14, 0.0003274212663317031)	(16, 0.0003483204960975565)	(18, 0.00035528690601950764)	(20, 0.00045978305484877457)	(22, 0.0004737158746926768)	(24, 0.0004946151044585303)	(26, 0.0005224807441463347)	(28, 0.000536413563990237)	(30, 0.000567762408639017)	(32, 0.0007210234269219419)	(34, 0.0008951836749707202)	(36, 0.0010136126436438894)	(38, 0.0011494576371219364)	(40, 0.0014281140339999815)	(42, 0.0017032872259170513)	(44, 0.0021108222063511923)	(46, 0.0026751014100292337)	(48, 0.003448372911365809)	(50, 0.0044898511946975025)	(52, 0.005667174471507244)	(54, 0.006962926716990154)	(56, 0.008774193296697447)	(58, 0.011013894086604737)	(60, 0.014228892265585182)	(62, 0.017691197996794895)	(64, 0.02178396382594118)	(66, 0.0260578563130582)	(68, 0.03147075682241423)	(70, 0.03771962652240439)	(72, 0.04528166449268234)	(74, 0.05333831756741882)	(76, 0.062001048305365056)	(78, 0.0716599756621503)	(80, 0.08312320318872088)	(82, 0.09659623997777436)	(84, 0.11122918401883272)	(86, 0.12723102760955446)	(88, 0.14403749154626155)	(90, 0.16308365627287597)	(92, 0.18457851408705617)	(94, 0.20710440056968513)	(96, 0.2316993107991336)	(98, 0.2569281643314796)	(100, 0.2845464964670549)	(102, 0.3151603848690691)	(104, 0.3466346248964443)	(106, 0.3809093617124439)	(108, 0.41724963907030194)	(110, 0.45572163786427705)	(112, 0.49603276887764725)	(114, 0.5388622570778028)	(116, 0.58573226303269)	(118, 0.6363745799603138)	(120, 0.6908414559350886)	(122, 0.7469384718316001)	(124, 0.8081697318405896)	(126, 0.8724522793953937)	(128, 0.9393820627205391)	(130, 1.009808983826504)	(132, 1.084649125618025)	(134, 1.164801154975034)	(136, 1.2492131439993157)	(138, 1.3375820538592658)
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 0.00025079075719024066)	(2, 0.00025079075719024066)	(3, 0.0002647235770341429)	(4, 0.0002716899869560941)	(5, 0.0002856228067999963)	(6, 0.00029955562664389857)	(7, 0.00029955562664389857)	(8, 0.00031348844648780084)	(9, 0.00031348844648780084)	(10, 0.0003239380613707275)	(12, 0.0003274212663317031)	(14, 0.0003343876762536542)	(16, 0.00035528690601950764)	(18, 0.00036225331594145875)	(20, 0.00045978305484877457)	(22, 0.0004737158746926768)	(24, 0.0004980983094195058)	(26, 0.0005294471540682859)	(28, 0.0005468631788731638)	(30, 0.0005816952284829193)	(32, 0.0007593386814926732)	(34, 0.0009404653394634026)	(36, 0.001010129438682914)	(38, 0.0011076591775902296)	(40, 0.0013305842950926657)	(42, 0.0015987910770877843)	(44, 0.0020028428525609497)	(46, 0.0025671220562389916)	(48, 0.0033438767625365426)	(50, 0.0043958046607511635)	(52, 0.005618409602053586)	(54, 0.006931577872341374)	(56, 0.008735878042126718)	(58, 0.011003444471721809)	(60, 0.014218442650702256)	(62, 0.01764939953726319)	(64, 0.021770031006097278)	(66, 0.026064822722980153)	(68, 0.031463790412492275)	(70, 0.037670861652950735)	(72, 0.04521896680338478)	(74, 0.05327213667316029)	(76, 0.061952283435911394)	(78, 0.07160076117781372)	(80, 0.08304308947461844)	(82, 0.09647781100910119)	(84, 0.11117345273945711)	(86, 0.12716136351033494)	(88, 0.1439016465527835)	(90, 0.16284331513056866)	(92, 0.18427895846041226)	(94, 0.20667944956444612)	(96, 0.23096435455236775)	(98, 0.2562454561591284)	(100, 0.2837209768913037)	(102, 0.31411542338077647)	(104, 0.3453423558559224)	(106, 0.3794986637032488)	(108, 0.4154766877451654)	(110, 0.45375711026628684)	(112, 0.49380003449766197)	(114, 0.5363334502761345)	(116, 0.5829004173994169)	(118, 0.6331526153714113)	(120, 0.6871631914962985)	(122, 0.742675028959366)	(124, 0.8032618960505751)	(126, 0.8666213942907206)	(128, 0.9323216062646417)	(130, 1.0020344703536066)	(132, 1.0757808857873812)	(134, 1.1553198710712582)	(136, 1.238620717712989)	(138, 1.3255858959736657)
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 1.1825443796341142e-05)	(2, 1.4781804745426428e-05)	(3, 2.0694526643597e-05)	(4, 2.6607248541767572e-05)	(5, 2.8085429016310212e-05)	(6, 3.1041789965395496e-05)	(7, 3.1041789965395496e-05)	(8, 3.2519970439938144e-05)	(9, 3.695451186356607e-05)	(10, 4.7301775185364575e-05)	(12, 5.617085803262043e-05)	(14, 6.282267016806232e-05)	(16, 7.390902372713214e-05)	(18, 7.90826553880314e-05)	(20, 9.534264060800045e-05)	(22, 0.00010642899416707027)	(24, 0.00012712352081066728)	(26, 0.000144861686505179)	(28, 0.00015668713030152014)	(30, 0.0001825552886060164)	(32, 0.00025350795138406326)	(34, 0.00033998150914480785)	(36, 0.0003798923819574592)	(38, 0.0004515841349727774)	(40, 0.0005735340241225454)	(42, 0.00074943750059312)	(44, 0.0010014672715026405)	(46, 0.0013695342096637585)	(48, 0.0019031573609736526)	(50, 0.002633378515397718)	(52, 0.003484071378497009)	(54, 0.00461414035128486)	(56, 0.006088625374641146)	(58, 0.007955567313988504)	(60, 0.01010705899468532)	(62, 0.012702743907982202)	(64, 0.015699754820117408)	(66, 0.01927916883922242)	(68, 0.023449855048144487)	(70, 0.028288678831559826)	(72, 0.033654473954149625)	(74, 0.03975196841163802)	(76, 0.046420779622537156)	(78, 0.05398980274243276)	(80, 0.06271476299342071)	(82, 0.07258679129265375)	(84, 0.08352163135308295)	(86, 0.09542837507552393)	(88, 0.10863887397651154)	(90, 0.12369414210972834)	(92, 0.14044414415700832)	(94, 0.15883123107984423)	(96, 0.17908747721273938)	(98, 0.20121140437521906)	(100, 0.2254875623086329)	(102, 0.25198099095386073)	(104, 0.28125931161312684)	(106, 0.3120697663342564)	(108, 0.34620834439381876)	(110, 0.38259523495516046)	(112, 0.4226450567324188)	(114, 0.46632085521373023)	(116, 0.5140409554733905)	(118, 0.5651253944931096)	(120, 0.6196702540037331)	(122, 0.6777080539757009)	(124, 0.7405196377902041)	(126, 0.8065078314444996)	(128, 0.8763282079790466)	(130, 0.9517878430239741)	(132, 1.031953265609608)	(134, 1.11779637939796)	(136, 1.2094524379024514)	(138, 1.3069953501468086)
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 1.03472633217985e-05)	(2, 1.1825443796341142e-05)	(3, 2.5129068067224928e-05)	(4, 2.9563609490852856e-05)	(5, 3.1041789965395496e-05)	(6, 3.3998150914480784e-05)	(7, 3.3998150914480784e-05)	(8, 3.547633138902343e-05)	(9, 3.991087281265136e-05)	(10, 5.099722637172117e-05)	(12, 5.986630921897703e-05)	(14, 7.760447491348874e-05)	(16, 8.869082847255856e-05)	(18, 9.755991131981442e-05)	(20, 0.00011234171606524086)	(22, 0.0001286017012852099)	(24, 0.00015225258887789221)	(26, 0.0001759034764705745)	(28, 0.00019142437145327224)	(30, 0.0002283788833168383)	(32, 0.00030376608751851307)	(34, 0.00039541327694015695)	(36, 0.00045084504473550605)	(38, 0.000535840422021708)	(40, 0.0006555730404596621)	(42, 0.0008381283290656784)	(44, 0.0010975490023479124)	(46, 0.0014685723014581157)	(48, 0.0020014563625307385)	(50, 0.0027368511486157033)	(52, 0.0036126730797822193)	(54, 0.004733872969722814)	(56, 0.0062031843614182005)	(58, 0.008078995383612814)	(60, 0.010243051598343243)	(62, 0.012840953782351939)	(64, 0.01580692290452175)	(66, 0.019398901457660375)	(68, 0.02356884857634517)	(70, 0.028384760562405097)	(72, 0.03371655753408041)	(74, 0.03975196841163803)	(76, 0.04638456420091086)	(78, 0.05392254553084107)	(80, 0.06256620585572917)	(82, 0.07236432513123509)	(84, 0.08322377798746261)	(86, 0.09507656812258279)	(88, 0.10818802893177604)	(90, 0.12318490893624842)	(92, 0.13979817928963317)	(94, 0.1579953200214904)	(96, 0.1780527508805595)	(98, 0.19999338366419595)	(100, 0.22399090457815848)	(102, 0.2501850016772914)	(104, 0.2791499480759545)	(106, 0.3095324695497039)	(108, 0.34321133348168353)	(110, 0.3790779045159862)	(112, 0.41860149404430735)	(114, 0.4617939275104434)	(116, 0.5089390155655065)	(118, 0.5592843643479544)	(120, 0.6130953072529675)	(122, 0.6701700726457707)	(124, 0.7318966719919596)	(126, 0.7966956694544856)	(128, 0.8651073399967936)	(130, 0.9391013591012118)	(132, 1.0176976931131188)	(134, 1.101874158416424)	(136, 1.1917061422153297)	(138, 1.2874005897762713)
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_1 - illumina_universal_adapter	(1, 0.0004719081411371765)	(2, 0.0004719081411371765)	(3, 0.0004719081411371765)	(4, 0.0004996674435570104)	(5, 0.0005135470947669273)	(6, 0.0005135470947669273)	(7, 0.0005135470947669273)	(8, 0.0005551860483966782)	(9, 0.0005551860483966782)	(10, 0.0005690656996065952)	(12, 0.0005968250020264291)	(14, 0.000624584304446263)	(16, 0.000624584304446263)	(18, 0.0006523436068660969)	(20, 0.0006662232580760139)	(22, 0.0006870427348908893)	(24, 0.0007078622117057648)	(26, 0.0007356215141255986)	(28, 0.0007772604677553495)	(30, 0.0008466587238049343)	(32, 0.0009438162822743529)	(34, 0.001061793317558647)	(36, 0.001193650004052858)	(38, 0.001381025295386737)	(40, 0.0015614607611156575)	(42, 0.0019362113437834151)	(44, 0.00232484157766109)	(46, 0.0027551107651685156)	(48, 0.0033658154184048614)	(50, 0.004295752049469298)	(52, 0.005308966587793236)	(54, 0.00674551048801964)	(56, 0.008320850900345214)	(58, 0.010416678233042674)	(60, 0.013213427951840941)	(62, 0.016398807904516883)	(64, 0.020007517219095293)	(66, 0.024490644559898467)	(68, 0.029438740216233862)	(70, 0.03530983267802873)	(72, 0.04201370421241862)	(74, 0.04991816557646633)	(76, 0.05894687868851731)	(78, 0.06909984354857156)	(80, 0.08134863574132328)	(82, 0.09529074538168486)	(84, 0.1102391297347654)	(86, 0.12668651641851703)	(88, 0.14533382781904045)	(90, 0.1660145081218167)	(92, 0.187861079126226)	(94, 0.21204637135950627)	(96, 0.23778618452829728)	(98, 0.265247074447118)	(100, 0.2960876594355535)	(102, 0.3294682205954037)	(104, 0.36528466054259445)	(106, 0.4018228423527008)	(108, 0.4423028451064236)	(110, 0.48573921356785876)	(112, 0.5319098733176475)	(114, 0.5808911624374444)	(116, 0.6344804957589338)	(118, 0.6903807910068742)	(120, 0.7497024202780593)	(122, 0.8126952172942674)	(124, 0.8818158803196539)	(126, 0.9526021014902304)	(128, 1.0274897595933372)	(130, 1.1086787793457464)	(132, 1.1951143072555044)	(134, 1.2885104802470355)	(136, 1.3855292422043552)	(138, 1.4893629129057437)
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_2 - illumina_universal_adapter	(1, 0.0004719081411371765)	(2, 0.0004719081411371765)	(3, 0.0004719081411371765)	(4, 0.0004996674435570104)	(5, 0.0005135470947669273)	(6, 0.0005135470947669273)	(7, 0.0005135470947669273)	(8, 0.0005551860483966782)	(9, 0.0005551860483966782)	(10, 0.0005690656996065952)	(12, 0.0005829453508165122)	(14, 0.0005968250020264291)	(16, 0.0005968250020264291)	(18, 0.000624584304446263)	(20, 0.00063846395565618)	(22, 0.0006592834324710554)	(24, 0.0006801029092859308)	(26, 0.0007009223861008063)	(28, 0.0007703206421503909)	(30, 0.0008466587238049343)	(32, 0.0009438162822743529)	(34, 0.001061793317558647)	(36, 0.0011867101784478998)	(38, 0.001408784597806571)	(40, 0.001554520935510699)	(42, 0.0019153918669685397)	(44, 0.0022901424496362976)	(46, 0.002741231113958599)	(48, 0.00337275524400982)	(50, 0.004365150305518883)	(52, 0.005350605541422986)	(54, 0.006731630836809723)	(56, 0.008300031423530339)	(58, 0.010381979105017883)	(60, 0.0132203677774459)	(62, 0.016475145986171426)	(64, 0.02015325355679942)	(66, 0.02462250124639268)	(68, 0.029612235856357826)	(70, 0.03543474953891799)	(72, 0.04224965828298721)	(74, 0.050299855984739045)	(76, 0.05937020805041977)	(78, 0.0696272702945484)	(80, 0.08176502527762078)	(82, 0.09560997735951295)	(84, 0.11058612101501333)	(86, 0.12704044752436988)	(88, 0.14568775892489333)	(90, 0.16631292062282993)	(92, 0.18816643145284417)	(94, 0.21233090420930958)	(96, 0.23807765720370555)	(98, 0.2655454869481312)	(100, 0.2962472754244675)	(102, 0.3296417162355277)	(104, 0.36539569775227376)	(106, 0.4019755185160099)	(108, 0.4422889654552137)	(110, 0.48559347723015456)	(112, 0.5319237529688574)	(114, 0.5808148243557898)	(116, 0.6342376018627602)	(118, 0.6900684988546513)	(120, 0.7492790909161569)	(122, 0.81227882775797)	(124, 0.8813856111321465)	(126, 0.9519289384065495)	(128, 1.0267610779048166)	(130, 1.1078876392267811)	(132, 1.1937541014369324)	(134, 1.286803283148216)	(136, 1.383370956441213)	(138, 1.4868090570831192)
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 0.0003381186174450489)	(2, 0.0003381186174450489)	(3, 0.0003381186174450489)	(4, 0.0003381186174450489)	(5, 0.0003381186174450489)	(6, 0.0003441564498994248)	(7, 0.00036226994726255244)	(8, 0.00037434561217130415)	(9, 0.00038038344462568006)	(10, 0.0003864212770800559)	(12, 0.0003924591095344318)	(14, 0.00040151585821599563)	(16, 0.00043170502048787496)	(18, 0.00045283743407819053)	(20, 0.0004739698476685061)	(22, 0.0005011400937131975)	(24, 0.0005252914235307011)	(26, 0.0005434049208938286)	(28, 0.0005886886643016477)	(30, 0.0006339724077094667)	(32, 0.0007758614703872997)	(34, 0.0008966181194748173)	(36, 0.0009660531927001398)	(38, 0.0010837909255604693)	(40, 0.001246812401828618)	(42, 0.001575874270592103)	(44, 0.001865690228402145)	(46, 0.002300414165117208)	(48, 0.0029404244052810505)	(50, 0.0038008155300296126)	(52, 0.004845360544636639)	(54, 0.006055945951739002)	(56, 0.007508044657016399)	(58, 0.00956996444018576)	(60, 0.012036418997798306)	(62, 0.0152908106907069)	(64, 0.01882294267651679)	(66, 0.022810931012632048)	(68, 0.02768648071954057)	(70, 0.03363978351955518)	(72, 0.04052895034999805)	(74, 0.04831473529991574)	(76, 0.05679487098208666)	(78, 0.06673616211821654)	(80, 0.07805106013771693)	(82, 0.09085126494099377)	(84, 0.10569225711384966)	(86, 0.12117627844309661)	(88, 0.13893354369141603)	(90, 0.15832404261864416)	(92, 0.1795621182769113)	(94, 0.2023911627869065)	(96, 0.22699533003848815)	(98, 0.25442822179494495)	(100, 0.284146433135383)	(102, 0.31589637509671853)	(104, 0.3501369229454841)	(106, 0.38577522900743766)	(108, 0.42449886745357734)	(110, 0.4655500903108789)	(112, 0.509131164966564)	(114, 0.5562655040216493)	(116, 0.6061319622623396)	(118, 0.6601071654882327)	(120, 0.7179677138985168)	(122, 0.7806011688639849)	(124, 0.846818077391125)	(126, 0.9148493545708052)	(128, 0.9874361763373121)	(130, 1.0655657282969357)	(132, 1.1479338386395312)	(134, 1.2368318647815346)	(136, 1.3327639657328856)	(138, 1.4339761511655884)
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 0.0003260429525362972)	(2, 0.0003260429525362972)	(3, 0.0003260429525362972)	(4, 0.0003260429525362972)	(5, 0.0003260429525362972)	(6, 0.00033208078499067306)	(7, 0.0003501942823538007)	(8, 0.0003501942823538007)	(9, 0.00035623211480817653)	(10, 0.00036226994726255244)	(12, 0.0003773645283984921)	(14, 0.0003954780257616197)	(16, 0.00041962935557912325)	(18, 0.0004347239367150629)	(20, 0.0004498185178510026)	(22, 0.00047095093144131815)	(24, 0.0005041590099403854)	(26, 0.000525291423530701)	(28, 0.0005705751669385201)	(30, 0.0006218967428007151)	(32, 0.000766804721705736)	(34, 0.0008905802870204415)	(36, 0.0009841666900632675)	(38, 0.0011200179202867245)	(40, 0.0012739826478733094)	(42, 0.0015819121030464789)	(44, 0.0018807848095380847)	(46, 0.002303433081344396)	(48, 0.0029494811539626143)	(50, 0.0038491181896646194)	(52, 0.004908757785407586)	(54, 0.006155570187236203)	(56, 0.007607668892513601)	(58, 0.009711853502863592)	(60, 0.012154156730658634)	(62, 0.015441756502066296)	(64, 0.018901434498423672)	(66, 0.02290149849944769)	(68, 0.02772572663049401)	(70, 0.033685067262963)	(72, 0.040592347590769004)	(74, 0.048257375891599175)	(76, 0.05670732241149821)	(78, 0.0666184243853562)	(80, 0.07773407393386218)	(82, 0.09032295460123588)	(84, 0.10501601987895956)	(86, 0.12036418997798304)	(88, 0.13800975532589654)	(90, 0.15722213819572056)	(92, 0.17821266272335828)	(94, 0.20095717757899223)	(96, 0.22536813419203386)	(98, 0.25245988841481837)	(100, 0.28186413246762887)	(102, 0.3130555749269347)	(104, 0.3469761176556183)	(106, 0.38215856736726656)	(108, 0.42039917921705616)	(110, 0.46080133508551235)	(112, 0.5039235344746649)	(114, 0.5503484282163609)	(116, 0.5994299682379824)	(118, 0.6526172343285794)	(120, 0.7094604079703011)	(122, 0.7709436558532106)	(124, 0.8359499789732485)	(126, 0.9029457678870032)	(128, 0.9741921908486384)	(130, 1.0508002090297595)	(132, 1.1318037692376661)	(134, 1.219041391454716)	(136, 1.313201388580708)	(138, 1.412861851072636)
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 8.959250963615037e-06)	(2, 1.0079157334066917e-05)	(3, 1.9038408297681953e-05)	(4, 3.135737837265263e-05)	(5, 3.695691022491203e-05)	(6, 4.255644207717143e-05)	(7, 4.591616118852706e-05)	(8, 5.823513126349774e-05)	(9, 6.159485037485339e-05)	(10, 7.447377363505e-05)	(12, 8.343302459866504e-05)	(14, 9.463208830318383e-05)	(16, 0.00010527119882247669)	(18, 0.00012598946667583645)	(20, 0.00013886838993603306)	(22, 0.00016406628327120037)	(24, 0.00018086487882797858)	(26, 0.00020494286579269397)	(28, 0.00023238057186876504)	(30, 0.00026429790342664364)	(32, 0.0003174934560231079)	(34, 0.0003947669955842876)	(36, 0.0005414747301134838)	(38, 0.0007968133825765123)	(40, 0.00120949888008803)	(42, 0.0018719234982103167)	(44, 0.0028703200274681675)	(46, 0.004282521960607988)	(48, 0.0063661077628337105)	(50, 0.009178752612223605)	(52, 0.012701978053665219)	(54, 0.016904426708785898)	(56, 0.022145028569315467)	(58, 0.028682482006828318)	(60, 0.036549264306067544)	(62, 0.045267735400035425)	(64, 0.05479925851895137)	(66, 0.06559627583647795)	(68, 0.07794940305574741)	(70, 0.09186759942772338)	(72, 0.1072097567497289)	(74, 0.1235531103669184)	(76, 0.140935177142702)	(78, 0.15996518614260558)	(80, 0.18099086829465438)	(82, 0.2040435809772211)	(84, 0.2292005977298669)	(86, 0.2563107311925808)	(88, 0.28543277644981147)	(90, 0.31743298107910345)	(92, 0.351610283692554)	(94, 0.38893956278564124)	(96, 0.4285797686741559)	(98, 0.47142066696942214)	(100, 0.5180334099203703)	(102, 0.5677348546410248)	(104, 0.6212456608807713)	(106, 0.6777538965210321)	(108, 0.7376683273870225)	(110, 0.800918959330589)	(112, 0.8689543912419111)	(114, 0.9411351565834609)	(116, 1.0179355357031246)	(118, 1.100137223247478)	(120, 1.1884519197149426)	(122, 1.2821024100844254)	(124, 1.3807443231470122)	(126, 1.482804190452218)	(128, 1.5877875733374887)	(130, 1.698976357421433)	(132, 1.81603289093336)	(134, 1.9387415918969577)	(136, 2.0687901592124973)	(138, 2.203606727900235)
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007928937102799308)	(4, 0.0010157550779998548)	(5, 0.0011691822507517624)	(6, 0.0012968515769832766)	(7, 0.0014122019331398203)	(8, 0.0017649724398321623)	(9, 0.00213902116756309)	(10, 0.00249347153381111)	(12, 0.0028249638194648664)	(14, 0.0032057319854185053)	(16, 0.0035299448796643246)	(18, 0.003808241612721617)	(20, 0.004085418439408457)	(22, 0.004316679104906769)	(24, 0.004488584732771134)	(26, 0.004638652186411686)	(28, 0.004762401840346618)	(30, 0.004845834864945283)	(32, 0.004925908170432593)	(34, 0.004995342365400609)	(36, 0.0050647765603686265)	(38, 0.005134210755336642)	(40, 0.005199725278008077)	(42, 0.005254040736974993)	(44, 0.005294917319496487)	(46, 0.005346433012537273)	(48, 0.005414187347949613)	(50, 0.0054645831346199466)	(52, 0.005507139576697118)	(54, 0.0055631348952197126)	(56, 0.0056168904010014025)	(58, 0.005686884549154645)	(60, 0.005739520148565883)	(62, 0.005795515467088477)	(64, 0.005842551534647456)	(66, 0.005892387368132565)	(68, 0.00594950259302561)	(70, 0.006002698145622075)	(72, 0.006057013604588992)	(74, 0.006127007752742233)	(76, 0.006189722509487539)	(78, 0.0062485175939362625)	(80, 0.006315711976163376)	(82, 0.006375067013797325)	(84, 0.0064501007406176005)	(86, 0.006530733999290135)	(88, 0.00665840332552165)	(90, 0.006847667502128018)	(92, 0.007111405452369436)	(94, 0.007442897738023192)	(96, 0.00787630150338807)	(98, 0.008455293096911691)	(100, 0.009201150739632643)	(102, 0.01004276037702723)	(104, 0.011073634191028185)	(106, 0.01227977335200486)	(108, 0.013737891446333209)	(110, 0.015475986133274526)	(112, 0.01749013774053223)	(114, 0.019945532457747977)	(116, 0.02294296185826243)	(118, 0.026422510951256424)	(120, 0.030605361244894193)	(122, 0.03544503662480199)	(124, 0.04115431930136568)	(126, 0.04765873550095019)	(128, 0.05519066579542431)	(130, 0.06395337319102504)	(132, 0.07415572022584166)	(134, 0.08576410970876061)	(136, 0.09841961164805209)	(138, 0.11222189771068627)
