Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1	(17.0, 12.0)	(18.0, 151.0)	(19.0, 1016.0)	(20.0, 4856.0)	(21.0, 13315.0)	(22.0, 17852.0)	(23.0, 14459.0)	(24.0, 12696.0)	(25.0, 12439.0)	(26.0, 13877.0)	(27.0, 15762.0)	(28.0, 19172.0)	(29.0, 22618.0)	(30.0, 29298.0)	(31.0, 36885.0)	(32.0, 51121.0)	(33.0, 70254.0)	(34.0, 110226.0)	(35.0, 180370.0)	(36.0, 362383.0)	(37.0, 754099.0)	(38.0, 2179492.0)	(39.0, 8323157.0)	(40.0, 2109086.0)				
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2	(14.0, 3.0)	(15.0, 37.0)	(16.0, 435.0)	(17.0, 1856.0)	(18.0, 4113.0)	(19.0, 7678.0)	(20.0, 15591.0)	(21.0, 20891.0)	(22.0, 18597.0)	(23.0, 14367.0)	(24.0, 14488.0)	(25.0, 15585.0)	(26.0, 17946.0)	(27.0, 20531.0)	(28.0, 25837.0)	(29.0, 30869.0)	(30.0, 40354.0)	(31.0, 51892.0)	(32.0, 72157.0)	(33.0, 99765.0)	(34.0, 154453.0)	(35.0, 249868.0)	(36.0, 487960.0)	(37.0, 1013165.0)	(38.0, 2670483.0)	(39.0, 7906422.0)	(40.0, 1399253.0)	
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 85.0)	(18.0, 1066.0)	(19.0, 7193.0)	(20.0, 36879.0)	(21.0, 100844.0)	(22.0, 126561.0)	(23.0, 88009.0)	(24.0, 68150.0)	(25.0, 61350.0)	(26.0, 66305.0)	(27.0, 73363.0)	(28.0, 89103.0)	(29.0, 105821.0)	(30.0, 135903.0)	(31.0, 171430.0)	(32.0, 236506.0)	(33.0, 324914.0)	(34.0, 504577.0)	(35.0, 836735.0)	(36.0, 1692455.0)	(37.0, 3554146.0)	(38.0, 10441898.0)	(39.0, 39440870.0)	(40.0, 9486574.0)			
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2	(14.0, 12.0)	(15.0, 103.0)	(16.0, 898.0)	(17.0, 4368.0)	(18.0, 13297.0)	(19.0, 37470.0)	(20.0, 97292.0)	(21.0, 131787.0)	(22.0, 99215.0)	(23.0, 64617.0)	(24.0, 59531.0)	(25.0, 60337.0)	(26.0, 69557.0)	(27.0, 80341.0)	(28.0, 100278.0)	(29.0, 121194.0)	(30.0, 161587.0)	(31.0, 209901.0)	(32.0, 295882.0)	(33.0, 411588.0)	(34.0, 645402.0)	(35.0, 1063989.0)	(36.0, 2121465.0)	(37.0, 4534905.0)	(38.0, 12533804.0)	(39.0, 38026414.0)	(40.0, 6705504.0)	
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_1	(17.0, 9.0)	(18.0, 79.0)	(19.0, 471.0)	(20.0, 2060.0)	(21.0, 6262.0)	(22.0, 10734.0)	(23.0, 10162.0)	(24.0, 7991.0)	(25.0, 6541.0)	(26.0, 6010.0)	(27.0, 5873.0)	(28.0, 6640.0)	(29.0, 7430.0)	(30.0, 9190.0)	(31.0, 11197.0)	(32.0, 15015.0)	(33.0, 19608.0)	(34.0, 30316.0)	(35.0, 47907.0)	(36.0, 92892.0)	(37.0, 187528.0)	(38.0, 540302.0)	(39.0, 4397708.0)	(40.0, 1782867.0)				
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_2	(14.0, 1.0)	(15.0, 14.0)	(16.0, 169.0)	(17.0, 570.0)	(18.0, 1398.0)	(19.0, 2700.0)	(20.0, 6275.0)	(21.0, 10715.0)	(22.0, 10033.0)	(23.0, 7401.0)	(24.0, 6223.0)	(25.0, 5446.0)	(26.0, 5601.0)	(27.0, 5874.0)	(28.0, 6693.0)	(29.0, 7547.0)	(30.0, 9380.0)	(31.0, 11101.0)	(32.0, 14774.0)	(33.0, 19457.0)	(34.0, 29234.0)	(35.0, 47512.0)	(36.0, 94488.0)	(37.0, 197650.0)	(38.0, 605083.0)	(39.0, 4590663.0)	(40.0, 1508790.0)	
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 23.0)	(18.0, 232.0)	(19.0, 1358.0)	(20.0, 7134.0)	(21.0, 19448.0)	(22.0, 25828.0)	(23.0, 19050.0)	(24.0, 16004.0)	(25.0, 15317.0)	(26.0, 17155.0)	(27.0, 19143.0)	(28.0, 23282.0)	(29.0, 27830.0)	(30.0, 36139.0)	(31.0, 45622.0)	(32.0, 63956.0)	(33.0, 88142.0)	(34.0, 137932.0)	(35.0, 231939.0)	(36.0, 469051.0)	(37.0, 972507.0)	(38.0, 2772763.0)	(39.0, 9516629.0)	(40.0, 2035750.0)			
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_2	(14.0, 8.0)	(15.0, 38.0)	(16.0, 334.0)	(17.0, 1508.0)	(18.0, 3621.0)	(19.0, 8318.0)	(20.0, 19318.0)	(21.0, 26775.0)	(22.0, 22011.0)	(23.0, 16203.0)	(24.0, 15777.0)	(25.0, 16691.0)	(26.0, 19080.0)	(27.0, 21801.0)	(28.0, 27322.0)	(29.0, 33354.0)	(30.0, 43946.0)	(31.0, 57124.0)	(32.0, 79975.0)	(33.0, 111316.0)	(34.0, 175519.0)	(35.0, 290930.0)	(36.0, 582650.0)	(37.0, 1242604.0)	(38.0, 3290664.0)	(39.0, 9045905.0)	(40.0, 1409443.0)	
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1	(16.0, 7.0)	(17.0, 112.0)	(18.0, 1558.0)	(19.0, 8604.0)	(20.0, 40606.0)	(21.0, 107044.0)	(22.0, 137450.0)	(23.0, 103663.0)	(24.0, 87467.0)	(25.0, 83345.0)	(26.0, 93985.0)	(27.0, 104982.0)	(28.0, 128029.0)	(29.0, 152759.0)	(30.0, 198055.0)	(31.0, 251611.0)	(32.0, 352499.0)	(33.0, 493957.0)	(34.0, 778058.0)	(35.0, 1286335.0)	(36.0, 2561896.0)	(37.0, 5300437.0)	(38.0, 15064304.0)	(39.0, 51019224.0)	(40.0, 10937192.0)			
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_2	(13.0, 2.0)	(14.0, 30.0)	(15.0, 225.0)	(16.0, 1685.0)	(17.0, 7191.0)	(18.0, 18849.0)	(19.0, 44584.0)	(20.0, 106121.0)	(21.0, 144635.0)	(22.0, 117563.0)	(23.0, 85280.0)	(24.0, 83394.0)	(25.0, 87481.0)	(26.0, 102568.0)	(27.0, 118477.0)	(28.0, 148529.0)	(29.0, 182085.0)	(30.0, 241346.0)	(31.0, 314813.0)	(32.0, 442243.0)	(33.0, 614595.0)	(34.0, 967164.0)	(35.0, 1590486.0)	(36.0, 3162290.0)	(37.0, 6688107.0)	(38.0, 17672140.0)	(39.0, 48716671.0)	(40.0, 7634625.0)
