Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_2	(1.0, 17.338897667551084)	(2.0, 8.577273941673726)	(3.0, 5.947242770459032)	(4.0, 4.36048678660119)	(5.0, 3.4940570402836046)	(6.0, 2.8413118810585036)	(7.0, 2.4018482806107015)	(8.0, 2.0488937990469367)	(9.0, 1.820139612795824)	('>10', 21.243677505144102)	('>50', 6.1123250980553125)	('>100', 9.839396453900736)	('>500', 2.29202402232558)	('>1k', 3.1836664263631276)	('>5k', 1.8096860267598465)	('>10k+', 6.6890726873706035)
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_1	(1.0, 27.655024014000773)	(2.0, 12.731723049034349)	(3.0, 7.533932984058849)	(4.0, 4.931011919897556)	(5.0, 3.523327199967124)	(6.0, 2.704614114966605)	(7.0, 2.137569610067434)	(8.0, 1.794073897060654)	(9.0, 1.4584698681009156)	('>10', 16.244489432231752)	('>50', 4.379438124411783)	('>100', 5.520706401505567)	('>500', 1.3644029405013824)	('>1k', 3.9899733727764923)	('>5k', 1.7539332514131794)	('>10k+', 2.2773098200055677)
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_2	(1.0, 27.804687742984445)	(2.0, 12.827388743132445)	(3.0, 7.450772374595884)	(4.0, 4.800042811669148)	(5.0, 3.619042438296791)	(6.0, 2.7596031905572387)	(7.0, 2.127752265336158)	(8.0, 1.7841008299737484)	(9.0, 1.5473354747863797)	('>10', 16.230567965278716)	('>50', 4.252574814855892)	('>100', 5.353122964265731)	('>500', 1.400581742856299)	('>1k', 4.004617140811222)	('>5k', 1.8822242172225014)	('>10k+', 2.155585283377409)
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_1	(1.0, 25.3124494495291)	(2.0, 17.317646568097594)	(3.0, 11.253870106017937)	(4.0, 7.317295716057218)	(5.0, 4.748079163825445)	(6.0, 3.2530021582139983)	(7.0, 2.4178433181960326)	(8.0, 1.7792718095309938)	(9.0, 1.4418818680332697)	('>10', 12.868007202509691)	('>50', 2.355286676658912)	('>100', 3.524034403031532)	('>500', 2.1574999748113526)	('>1k', 3.9165992201249487)	('>5k', 0.33723236536205925)	('>10k+', 0.0)
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_2	(1.0, 25.063988990845274)	(2.0, 17.243119622421986)	(3.0, 11.394962574510965)	(4.0, 7.369357711047633)	(5.0, 4.865262116375801)	(6.0, 3.321730903642405)	(7.0, 2.4777693389460667)	(8.0, 1.8535151002831245)	(9.0, 1.4914143493967995)	('>10', 12.760747412452355)	('>50', 2.236844653308903)	('>100', 3.7043932891422817)	('>500', 1.976503163273185)	('>1k', 3.6917005664267215)	('>5k', 0.5486902079264607)	('>10k+', 0.0)
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_1	(1.0, 15.44327532886897)	(2.0, 12.540210968264597)	(3.0, 10.253221248754524)	(4.0, 7.927204867916844)	(5.0, 6.0134811835029485)	(6.0, 4.64956730156467)	(7.0, 3.601157697756647)	(8.0, 2.842834343590587)	(9.0, 2.267415734156387)	('>10', 18.393696386093055)	('>50', 3.879823720322803)	('>100', 4.38940750100802)	('>500', 1.3994060413964815)	('>1k', 4.2403348004634)	('>5k', 1.4306541301191937)	('>10k+', 0.7283087462207766)
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_2	(1.0, 15.329558218988563)	(2.0, 12.61897284200354)	(3.0, 10.616069545239021)	(4.0, 8.086474888143226)	(5.0, 6.237260450401817)	(6.0, 4.512616931990122)	(7.0, 3.609964868083383)	(8.0, 2.824444095877983)	(9.0, 2.217344767721613)	('>10', 18.187499321202385)	('>50', 3.7495550297818543)	('>100', 4.2438466923404095)	('>500', 1.418445793082397)	('>1k', 4.247742998688463)	('>5k', 1.3082566783339442)	('>10k+', 0.7919468781212987)
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_1	(1.0, 24.939853982930927)	(2.0, 16.056248580278883)	(3.0, 10.516456720908893)	(4.0, 6.876007022733566)	(5.0, 4.65780617322755)	(6.0, 3.242593298835556)	(7.0, 2.4442812409961165)	(8.0, 1.9730634786431167)	(9.0, 1.550130662542748)	('>10', 13.697059452031374)	('>50', 2.8000595387809115)	('>100', 3.9870167975110964)	('>500', 1.955479246156278)	('>1k', 4.200192760436969)	('>5k', 1.1037510439861433)	('>10k+', 0.0)
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_2	(1.0, 24.36078028636706)	(2.0, 16.39308692356219)	(3.0, 10.655364934678246)	(4.0, 6.988155589453504)	(5.0, 4.703810273552208)	(6.0, 3.2934865389235672)	(7.0, 2.467703528317667)	(8.0, 1.8974186449769508)	(9.0, 1.539047205485697)	('>10', 13.654979542054994)	('>50', 2.7546598141511414)	('>100', 3.991336207911785)	('>500', 1.9636919235135104)	('>1k', 4.143534719267163)	('>5k', 1.1929438677843656)	('>10k+', 0.0)
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_1	(1.0, 15.632560340485584)	(2.0, 12.128245393431177)	(3.0, 9.80838612836436)	(4.0, 7.435416341161859)	(5.0, 5.658513919575594)	(6.0, 4.299317160766162)	(7.0, 3.3470881392065617)	(8.0, 2.6817107435797203)	(9.0, 2.2211761015983478)	('>10', 18.71879809524668)	('>50', 4.30200085970489)	('>100', 5.159243719680706)	('>500', 1.401799415413322)	('>1k', 4.423319144239804)	('>5k', 1.4544204651235069)	('>10k+', 1.328004032421658)
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_2	(1.0, 15.644876876395205)	(2.0, 12.23118668240146)	(3.0, 9.972981354169047)	(4.0, 7.542347237652567)	(5.0, 5.696732965023717)	(6.0, 4.3614049930256)	(7.0, 3.326712780362236)	(8.0, 2.675454750080166)	(9.0, 2.209807042574252)	('>10', 18.544348059675915)	('>50', 4.118972242464296)	('>100', 5.0976562680678486)	('>500', 1.3806372625901553)	('>1k', 4.427428359049022)	('>5k', 1.3378693757786997)	('>10k+', 1.43158375068977)
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_1	(1.0, 27.381821411458446)	(2.0, 12.866672895642234)	(3.0, 7.458367175543969)	(4.0, 4.904737879223916)	(5.0, 3.5489614542294783)	(6.0, 2.7611723078427874)	(7.0, 2.1155674296544684)	(8.0, 1.6283110483764245)	(9.0, 1.4229736250327405)	('>10', 15.663187478894535)	('>50', 4.181284701062854)	('>100', 5.360390144727937)	('>500', 1.3627698844382765)	('>1k', 4.530591714275826)	('>5k', 2.1802434485259066)	('>10k+', 2.6329474010704623)
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_2	(1.0, 27.811006988223475)	(2.0, 12.891727112885329)	(3.0, 7.429645203449247)	(4.0, 4.937775135864119)	(5.0, 3.306352154565532)	(6.0, 2.6379552871638716)	(7.0, 2.0818819318265014)	(8.0, 1.7381816081243209)	(9.0, 1.429387045970195)	('>10', 15.613311559285078)	('>50', 4.094301881071372)	('>100', 5.286406796174512)	('>500', 1.3397770637980229)	('>1k', 4.643653006880873)	('>5k', 2.0636480731803624)	('>10k+', 2.694989151537136)
