"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"191",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000294726389028855,0.00459310581877631,0.318,0.116,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143555329568175,"6","h1SMcG0021692"
"192",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208711124722298,0.00365301381535229,0.403,0.174,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101659014629737,"6","h1SMcG0013540"
"193",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000475410219634258,0.00594966977925292,0.18,0.055,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000231562809779454,"6","h1SMcG0006725"
"194",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000791141302004463,0.00354428321351934,0.243,0.103,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000385349105380334,"6","h1SMcG0013627"
"195",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000340117331259213,0.00400131608766763,0.183,0.068,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000165664349709738,"6","h1SMnG0014807"
"196",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000587583129477784,0.00602364224731756,0.116,0.034,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000286199990706039,"6","h1SMcG0013548"
"197",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000371880102597585,0.00529275711099863,0.134,0.044,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181135360373232,"6","h1SMcG0005979"
"198",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000785094840599212,0.00476613854185584,0.142,0.049,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000382403994959064,"6","h1SMnG0033052"
"199",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000406019614381768,0.00490614806293676,0.139,0.048,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197764033773071,"6","h1SMcG0008036"
"200",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000321918134843261,0.0032934101809293,0.243,0.113,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000156799885119456,"6","h1SMcG0023144"
"201",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122812719014449,0.00344348284360008,0.204,0.089,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000598196191775576,"6","h1SMcG0004525"
"202",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000775825109952119,0.005514931662053,0.101,0.032,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000377888894555478,"6","h1SMcG0001110"
"203",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038679747523163,0.00436569019518446,0.127,0.047,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188401314235822,"6","h1SMcG0002175"
"204",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171372353124294,0.00442851162045069,0.125,0.047,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000834720457597813,"6","h1SMcG0004888"
"205",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323103625649621,0.00452676682556195,0.109,0.039,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000157377313981417,"6","h1SMcG0006354"
"206",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000112796573918964,0.0033522419244569,0.144,0.063,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000549409552244492,"6","h1SMcG0006604"
"207",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000987870074401388,0.00364649244817641,0.122,0.051,0.000000000000000000000000000000000000000000000000000000000000000000000000000481171755839428,"6","h1SMcG0010072"
"208",0.000000000000000000000000000000000000000000000000000000000000000000000000000000814789349296255,0.00386522649798393,0.114,0.047,0.000000000000000000000000000000000000000000000000000000000000000000000000039686759625522,"6","h1SMcG0014127"
"209",0.00000000000000000000000000000000000000000000000000000000000000000000000165687347927599,0.00370341600062652,0.103,0.042,0.0000000000000000000000000000000000000000000000000000000000000000000807029934285752,"6","h1SMcG0018635"
"210",0.0000000000000000000000000000000000000000000000000000000000084857620597805,0.00317655675651934,0.108,0.048,0.000000000000000000000000000000000000000000000000000000413324498407789,"6","h1SMcG0011798"
"211",0,0.0619951861692581,0.175,0.001,0,"7","h1SMcG0001563"
"212",0,0.0572178437197716,0.285,0.005,0,"7","h1SMnG0035548"
"213",0,0.055068482687811,0.136,0.002,0,"7","h1SMcG0020713"
"214",0,0.0544723491476276,0.17,0.003,0,"7","h1SMcG0014294"
"215",0,0.0531280141264179,0.127,0.002,0,"7","h1SMcG0001855"
"216",0,0.0473663484655128,0.247,0.006,0,"7","h1SMnG0016099"
"217",0,0.0466912914693314,0.127,0.003,0,"7","h1SMcG0012816"
"218",0,0.045783208915314,0.559,0.016,0,"7","h1SMcG0020329"
"219",0,0.0457694541929459,0.249,0.007,0,"7","h1SMnG0026366"
"220",0,0.0455679046262798,0.104,0.003,0,"7","h1SMcG0009931"
