"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"h1SMcG00098757",0.00000159433918624943,0.000877607775630217,0.158,0.12,0.0776570730838373,"20","h1SMcG0009875"
"h1SMcG00153779",0.0000182929545877304,0.000926797639643582,0.119,0.089,0.89101323205917,"20","h1SMcG0015377"
"h1SMcG00030627",0.0000631356890293148,0.000548957943366911,0.101,0.074,1,"20","h1SMcG0003062"
"h1SMcG00121288",0.000074815475644913,0.000644408914065269,0.156,0.124,1,"20","h1SMcG0012128"
"h1SMcG00216417",0.00142982265367494,0.000924376000435568,0.104,0.083,1,"20","h1SMcG0021641"
"h1SMcG00134627",0.00145980928318978,0.000418586961312617,0.178,0.149,1,"20","h1SMcG0013462"
"h1SMcG00152208",0.00682501139649191,0.000680383684343813,0.109,0.09,1,"20","h1SMcG0015220"
"h1SMcG00137469",0.0274489990208291,0.000248746356359461,0.236,0.213,1,"20","h1SMcG0013746"
"h1SMcG00041167",0.0614198503861712,0.0000945713764065599,0.176,0.158,1,"20","h1SMcG0004116"
"h1SMcG00011849",0.130341060521329,0.0000441342276790899,0.205,0.188,1,"20","h1SMcG0001184"
"h1SMcG00123848",0.189414197372622,0.00010502300489873,0.103,0.093,1,"20","h1SMcG0012384"
"h1SMcG00030979",0.233666665250078,0.000280267390665974,0.191,0.181,1,"20","h1SMcG0003097"
"h1SMcG00016829",0.384201306497508,0.0000854454042308376,0.111,0.104,1,"20","h1SMcG0001682"
"h1SMcG00214247",0.477139010047674,0.000118986865872107,0.146,0.14,1,"20","h1SMcG0021424"
"h1SMcG00130159",0.730873229112894,0.000221513666382215,0.106,0.104,1,"20","h1SMcG0013015"
"h1SMcG00095619",0.789997700517999,0.0000215052761654583,0.11,0.108,1,"20","h1SMcG0009561"
"h1SMcG0009250",0,0.0431402993370571,0.248,0.013,0,"21","h1SMcG0009250"
"h1SMcG00018272",0,0.041197798196937,0.391,0.021,0,"21","h1SMcG0001827"
