target_id	length	eff_length	est_counts	tpm
h1SMcT0022766.1	476	215.737	0	0
h1SMnT0035377.1	582	320.7	9.18698	1.39255
h1SMnT0035378.1	376	119.892	0	0
h1SMcT0023011.1	875	613.378	1.85147	0.146732
h1SMnT0035379.1	1105	843.36	5	0.2882
h1SMnT0035380.1	447	187.411	0	0
h1SMcT0023012.1	3189	2927.36	24.6083	0.408642
h1SMnT0035381.1	433	173.806	0	0
h1SMcT0023013.1	961	699.378	186.81	12.9845
h1SMcT0023014.1	767	505.408	0	0
h1SMnT0035382.1	510	249.269	0	0
h1SMnT0035383.1	348	95.2842	0	0
h1SMnT0035384.1	226	33.8695	0	0
h1SMcT0022895.1	509	248.281	0	0
h1SMnT0035212.1	281	49.802	30	29.2827
h1SMcT0022896.1	830	568.408	48.8672	4.17921
h1SMnT0035213.1	518	257.174	0	0
h1SMcT0022897.1	2388	2126.36	0	0
h1SMcT0022825.1	1188	926.36	240.837	12.638
h1SMcT0022826.1	450	190.351	0	0
h1SMcT0022827.1	2407	2145.36	871.135	19.7389
h1SMnT0035224.1	1281	1019.36	13.0316	0.621453
h1SMcT0023072.1	1689	1427.36	152.434	5.1914
h1SMnT0035474.1	432	172.841	0	0
h1SMcT0023068.1	850	588.401	4216.67	348.364
h1SMcT0023069.1	676	414.504	1890.54	221.715
h1SMcT0023058.1	1050	788.36	442.726	27.2991
h1SMnT0035461.1	333	83.196	2	1.1686
h1SMnT0035462.1	313	68.4948	2	1.41942
h1SMnT0035463.1	1094	832.36	30.7841	1.79784
h1SMcT0023059.1	1333	1071.36	30.5475	1.38605
h1SMnT0035464.1	389	131.874	0	0
h1SMnT0035465.1	2164	1902.36	5.10867	0.130543
h1SMnT0035386.1	1332	1070.36	44.9886	2.0432
h1SMnT0035387.1	1556	1294.36	39.0114	1.46512
h1SMcT0023018.1	886	624.378	286.364	22.295
h1SMcT0023019.1	741	479.421	204.491	20.7345
h1SMcT0022969.1	1378	1116.36	8.98555	0.391271
h1SMnT0035303.1	320	73.3397	0	0
h1SMcT0022970.1	1801	1539.36	6.58262	0.207872
h1SMnT0035245.1	718	456.45	1.00435	0.106962
h1SMcT0022925.1	1920	1658.36	374.576	10.9799
h1SMnT0035456.1	418	159.351	1.01989	0.311127
h1SMnT0035223.1	152	36.0588	0	0
h1SMnT0035437.1	2980	2718.36	56.6053	1.01225
h1SMcT0023047.1	1942	1680.36	966.893	27.9713
h1SMnT0035438.1	272	45.7704	0	0
h1SMcT0023062.1	2642	2380.36	9.98601	0.203932
h1SMnT0035326.1	303	62.0413	0	0
h1SMcT0022978.1	840	578.408	2	0.168086
h1SMcT0022979.1	1317	1055.36	7.17675	0.330571
h1SMcT0022980.1	744	482.415	37.7644	3.80539
h1SMnT0035067.1	1332	1070.36	2	0.0908316
h1SMcT0022788.1	758	496.415	0	0
h1SMcT0022654.1	1219	957.36	0	0
h1SMcT0022655.1	4783	4521.36	1.72058	0.0184987
h1SMcT0023052.1	2499	2237.36	567.725	12.335
h1SMnT0035453.1	579	317.74	0	0
h1SMnT0035220.1	677	415.504	0	0
h1SMnT0035221.1	572	310.803	0	0
h1SMnT0035201.1	835	573.408	1.27582	0.108159
h1SMcT0022884.1	1496	1234.36	10429.1	410.716
h1SMnT0035202.1	347	94.4631	4.42134	2.27525
h1SMnT0035203.1	1152	890.36	0	0
h1SMnT0035393.1	386	129.046	0	0
h1SMnT0035394.1	1916	1654.36	25015.6	735.051
h1SMnT0035395.1	1740	1478.36	0	0
h1SMnT0035396.1	2185	1923.36	0	0
h1SMnT0035397.1	3292	3030.36	0	0
h1SMnT0035398.1	1777	1515.36	7076.68	227.013
h1SMcT0022700.1	1613	1351.36	266.756	9.59579
h1SMcT0022993.1	1141	879.36	1.01635	0.0561843
h1SMnT0035346.1	308	65.1632	0	0
h1SMcT0022813.1	1131	869.36	1.1067e-06	6.18822e-08
h1SMnT0035115.1	1710	1448.36	6.55059	0.219857
h1SMnT0035116.1	1167	905.36	0	0
h1SMnT0034994.1	1801	1539.36	0.000498621	1.57459e-05
h1SMnT0034995.1	520	259.158	0	0
h1SMnT0034996.1	1532	1270.36	0	0
h1SMnT0034997.1	2324	2062.36	0	0
h1SMnT0034998.1	1365	1103.36	0	0
h1SMnT0034999.1	1694	1432.36	0	0
h1SMnT0035000.1	561	299.899	0	0
h1SMnT0035001.1	3293	3031.36	0	0
h1SMnT0035002.1	3290	3028.36	0	0
h1SMcT0022768.1	1907	1645.36	28.1044	0.830329
h1SMnT0035039.1	505	244.3	0	0
h1SMnT0035040.1	897	635.378	0	0
h1SMcT0022769.1	2740	2478.36	398.936	7.82484
h1SMcT0022770.1	1793	1531.36	0	0
h1SMnT0035041.1	319	72.6672	0	0
h1SMnT0035336.1	1940	1678.36	915	26.5017
