Motif	Factor	Evidence	Curated
MA1100.2_ASCL1	h1SMnG0012616	Orthologs	N
MA1100.2_ASCL1	h1SMcG0021180	Orthologs	N
MA1100.2_ASCL1	h1SMcG0018400	Orthologs	N
MA1100.2_ASCL1	h1SMcG0001162	Orthologs	N
MA1100.2_ASCL1	h1SMcG0008214	Orthologs	N
MA1100.2_ASCL1	h1SMcG0009326	Orthologs	N
MA1100.2_ASCL1	h1SMcG0002524	Orthologs	N
MA1100.2_ASCL1	h1SMnG0030649	Orthologs	N
MA1100.2_ASCL1	h1SMcG0019258	Orthologs	N
MA1100.2_ASCL1	h1SMcG0016534	Orthologs	N
MA1100.2_ASCL1	h1SMcG0001060	Orthologs	N
MA1100.2_ASCL1	h1SMcG0001334	Orthologs	N
MA1100.2_ASCL1	h1SMcG0021898	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0018604	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0004451	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0007018	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0022832	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMnG0012616	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0021180	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0018400	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0001162	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0008214	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0009326	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0002524	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMnG0030649	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0019258	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0016534	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0001060	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0001334	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0021898	Orthologs	N
MA0816.1_Ascl2	h1SMcG0018604	Orthologs	N
MA0816.1_Ascl2	h1SMcG0004451	Orthologs	N
MA0816.1_Ascl2	h1SMcG0007018	Orthologs	N
MA0816.1_Ascl2	h1SMcG0022832	Orthologs	N
MA0816.1_Ascl2	h1SMnG0012616	Orthologs	N
MA0816.1_Ascl2	h1SMcG0021180	Orthologs	N
MA0816.1_Ascl2	h1SMcG0018400	Orthologs	N
MA0816.1_Ascl2	h1SMcG0001162	Orthologs	N
MA0816.1_Ascl2	h1SMcG0008214	Orthologs	N
MA0816.1_Ascl2	h1SMcG0009326	Orthologs	N
MA0816.1_Ascl2	h1SMcG0002524	Orthologs	N
MA0816.1_Ascl2	h1SMnG0030649	Orthologs	N
MA0816.1_Ascl2	h1SMcG0019258	Orthologs	N
MA0816.1_Ascl2	h1SMcG0016534	Orthologs	N
MA0816.1_Ascl2	h1SMcG0001060	Orthologs	N
MA0816.1_Ascl2	h1SMcG0001334	Orthologs	N
MA0816.1_Ascl2	h1SMcG0021898	Orthologs	N
MA0275.1_ASG1	NO ORTHOLOGS FOUND	Orthologs	N
MA0276.1_ASH1	h1SMcG0009566	Orthologs	N
MA1661.1_AT-GTL1	NO ORTHOLOGS FOUND	Orthologs	N
MA1259.1_AT1G01250	NO ORTHOLOGS FOUND	Orthologs	N
MA1387.1_AT1G13300	NO ORTHOLOGS FOUND	Orthologs	N
MA1160.1_AT1G14580	NO ORTHOLOGS FOUND	Orthologs	N
MA1400.1_At1g19000	NO ORTHOLOGS FOUND	Orthologs	N
MA1255.1_AT1G22810	NO ORTHOLOGS FOUND	Orthologs	N
MA1263.1_AT1G36060	NO ORTHOLOGS FOUND	Orthologs	N
MA1222.1_AT1G44830	NO ORTHOLOGS FOUND	Orthologs	N
MA1275.1_AT1G47655	NO ORTHOLOGS FOUND	Orthologs	N
MA1186.1_At1g49010	NO ORTHOLOGS FOUND	Orthologs	N
MA1268.1_AT1G69570	NO ORTHOLOGS FOUND	Orthologs	N
MA1288.1_At1g72010	NO ORTHOLOGS FOUND	Orthologs	N
MA1353.1_AT1G72740	NO ORTHOLOGS FOUND	Orthologs	N
MA1397.1_At1g74840	NO ORTHOLOGS FOUND	Orthologs	N
MA1250.1_AT1G75490	NO ORTHOLOGS FOUND	Orthologs	N
MA1367.1_AT1G76870	NO ORTHOLOGS FOUND	Orthologs	N
MA1366.1_AT1G76880	NO ORTHOLOGS FOUND	Orthologs	N
MA1260.1_AT1G77640	NO ORTHOLOGS FOUND	Orthologs	N
MA1380.1_AT2G20110	NO ORTHOLOGS FOUND	Orthologs	N
MA1272.1_AT2G28810	NO ORTHOLOGS FOUND	Orthologs	N
MA1245.2_AT2G33710	NO ORTHOLOGS FOUND	Orthologs	N
MA1193.1_At2g38090	NO ORTHOLOGS FOUND	Orthologs	N
MA1385.1_AT2G40260	NO ORTHOLOGS FOUND	Orthologs	N
MA1229.1_AT2G44940	NO ORTHOLOGS FOUND	Orthologs	N
MA1285.1_At2g45680	NO ORTHOLOGS FOUND	Orthologs	N
MA1182.1_At3g09600	NO ORTHOLOGS FOUND	Orthologs	N
MA1662.1_AT3G10030	NO ORTHOLOGS FOUND	Orthologs	N
MA1191.1_AT3G10113	NO ORTHOLOGS FOUND	Orthologs	N
MA1194.1_AT3G10580	NO ORTHOLOGS FOUND	Orthologs	N
MA1188.1_At3g11280	NO ORTHOLOGS FOUND	Orthologs	N
MA1253.1_AT3G16280	NO ORTHOLOGS FOUND	Orthologs	N
MA1388.1_AT3G24120	NO ORTHOLOGS FOUND	Orthologs	N
MA1270.1_AT3G45610	NO ORTHOLOGS FOUND	Orthologs	N
MA1381.1_AT3G46070	NO ORTHOLOGS FOUND	Orthologs	N
MA1276.1_AT3G52440	NO ORTHOLOGS FOUND	Orthologs	N
MA1242.1_AT3G57600	NO ORTHOLOGS FOUND	Orthologs	N
MA1354.1_AT4G12670	NO ORTHOLOGS FOUND	Orthologs	N
MA1237.1_AT4G16750	NO ORTHOLOGS FOUND	Orthologs	N
MA1228.1_AT4G18450	NO ORTHOLOGS FOUND	Orthologs	N
MA1232.1_AT4G28140	NO ORTHOLOGS FOUND	Orthologs	N
MA1241.1_AT4G32800	NO ORTHOLOGS FOUND	Orthologs	N
MA1281.1_AT5G02460	NO ORTHOLOGS FOUND	Orthologs	N
MA1196.1_At5g05790	NO ORTHOLOGS FOUND	Orthologs	N
MA1399.1_At5g08520	NO ORTHOLOGS FOUND	Orthologs	N
MA1226.1_AT5G18450	NO ORTHOLOGS FOUND	Orthologs	N
MA1365.2_AT5G47660	NO ORTHOLOGS FOUND	Orthologs	N
MA1195.1_AT5G56840	NO ORTHOLOGS FOUND	Orthologs	N
MA1192.1_At5g58900	NO ORTHOLOGS FOUND	Orthologs	N
MA1189.1_AT5G61620	NO ORTHOLOGS FOUND	Orthologs	N
MA1267.1_AT5G66940	NO ORTHOLOGS FOUND	Orthologs	N
MA1261.1_AT5G67000	NO ORTHOLOGS FOUND	Orthologs	N
MA1438.1_atf-7	NO ORTHOLOGS FOUND	Orthologs	N
MA0604.1_Atf1	h1SMcG0006635	Orthologs	N
MA1632.1_ATF2	NO ORTHOLOGS FOUND	Orthologs	N
MA0605.2_ATF3	NO ORTHOLOGS FOUND	Orthologs	N
MA0833.2_ATF4	NO ORTHOLOGS FOUND	Orthologs	N
MA1466.1_ATF6	h1SMcG0008408	Orthologs	N
MA0834.1_ATF7	NO ORTHOLOGS FOUND	Orthologs	N
MA0950.1_ATHB-12	NO ORTHOLOGS FOUND	Orthologs	N
MA0951.1_ATHB-16	NO ORTHOLOGS FOUND	Orthologs	N
MA0110.3_ATHB-5	NO ORTHOLOGS FOUND	Orthologs	N
MA0952.1_ATHB-51	NO ORTHOLOGS FOUND	Orthologs	N
MA0953.1_ATHB-6	NO ORTHOLOGS FOUND	Orthologs	N
MA0573.1_ATHB-9	NO ORTHOLOGS FOUND	Orthologs	N
MA1212.1_ATHB13	NO ORTHOLOGS FOUND	Orthologs	N
MA1026.2_ATHB15	NO ORTHOLOGS FOUND	Orthologs	N
MA1211.1_ATHB18	NO ORTHOLOGS FOUND	Orthologs	N
MA1209.1_ATHB20	NO ORTHOLOGS FOUND	Orthologs	N
MA1327.2_ATHB23	NO ORTHOLOGS FOUND	Orthologs	N
MA1328.1_ATHB34	NO ORTHOLOGS FOUND	Orthologs	N
MA1406.1_ATHB4	NO ORTHOLOGS FOUND	Orthologs	N
MA1214.1_ATHB40	NO ORTHOLOGS FOUND	Orthologs	N
MA1215.1_ATHB53	NO ORTHOLOGS FOUND	Orthologs	N
MA0954.2_ATHB7	NO ORTHOLOGS FOUND	Orthologs	N
MA0461.2_Atoh1	NO ORTHOLOGS FOUND	Orthologs	N
MA1467.1_ATOH1(var.2)	NO ORTHOLOGS FOUND	Orthologs	N
MA1468.1_ATOH7	h1SMcG0018604	Orthologs	N
MA1468.1_ATOH7	h1SMcG0004451	Orthologs	N
MA1468.1_ATOH7	h1SMcG0007018	Orthologs	N
MA1468.1_ATOH7	h1SMcG0022832	Orthologs	N
