homer_ID	cl	cl_name
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	c_47	KLF
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer	c_47	KLF
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	c_47	KLF
KLF6(Zf)/PDAC-KLF6-ChIP-Seq(GSE64557)/Homer	c_47	KLF
Klf9(Zf)/GBM-Klf9-ChIP-Seq(GSE62211)/Homer	c_47	KLF
Mef2a(MADS)/HL1-Mef2a.biotin-ChIP-Seq(GSE21529)/Homer	c_81	MADS
Mef2b(MADS)/HEK293-Mef2b.V5-ChIP-Seq(GSE67450)/Homer	c_81	MADS
Mef2c(MADS)/GM12878-Mef2c-ChIP-Seq(GSE32465)/Homer	c_81	MADS
Mef2d(MADS)/Retina-Mef2d-ChIP-Seq(GSE61391)/Homer	c_81	MADS
Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)/Homer	c_35	MouseRecombHotSpot
BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer	c_18	Myc/Max
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)/Homer	c_18	Myc/Max
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	c_18	Myc/Max
CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer	c_18	Myc/Max
Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)/Homer	c_18	Myc/Max
MNT(bHLH)/HepG2-MNT-ChIP-Seq(Encode)/Homer	c_18	Myc/Max
n-Myc(bHLH)/mES-nMyc-ChIP-Seq(GSE11431)/Homer	c_18	Myc/Max
NPAS(bHLH)/Liver-NPAS-ChIP-Seq(GSE39860)/Homer	c_18	Myc/Max
NPAS2(bHLH)/Liver-NPAS2-ChIP-Seq(GSE39860)/Homer	c_18	Myc/Max
MYRF(MYRF)/CFPAC1-MYRF-ChIP-Seq(GSE145627)/Homer	c_86	MYRF
NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer	c_89	NF1(CTF)
Tlx?(NR)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	c_89	NF1(CTF)
NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	c_88	NF1:FOXA1
NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	c_90	NFAT
NFAT(RHD)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	c_90	NFAT
NFATC2(RHD)/Islets-NFATC2-ChIP-Seq(GSE158496)/Homer	c_90	NFAT
NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)/Homer	c_91	NFkB
NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)/Homer	c_91	NFkB
NFkB-p65(RHD)/GM12787-p65-ChIP-Seq(GSE19485)/Homer	c_91	NFkB
NFkB2-p52(RHD)/U266-NFKB2-ChIP-seq(GSE230466)/Homer	c_91	NFkB
NFY(CCAAT)/Promoter/Homer	c_92	NFY(CCAAT)
